35, ?, 35854, Some-college, 10, Never-married, ?, Own-child, White, Female, 0, 0, 40, United-States, <=50K
26, Private, 746432, HS-grad, 9, Never-married, Handlers-cleaners, Own-child, Black, Male, 0, 0, 48, United-States, <=50K
47, Self-emp-not-inc, 258498, Some-college, 10, Married-civ-spouse, Other-service, Wife, White, Female, 0, 0, 52, United-States, <=50K
44, Private, 176063, Bachelors, 13, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 45, United-States, <=50K
80, Self-emp-not-inc, 26865, 7th-8th, 4, Never-married, Farming-fishing, Unmarried, White, Male, 0, 0, 20, United-States, <=50K
55, Private, 104724, Doctorate, 16, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 40, United-States, >50K
43, Private, 346321, Masters, 14, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 45, United-States, >50K
49, Private, 402462, Bachelors, 13, Married-spouse-absent, Transport-moving, Unmarried, White, Male, 0, 0, 30, Columbia, <=50K
27, Private, 153078, Prof-school, 15, Never-married, Prof-specialty, Own-child, Asian-Pac-Islander, Male, 0, 0, 40, United-States, <=50K
42, Private, 176063, Assoc-voc, 11, Married-civ-spouse, Exec-managerial, Husband, White, Male, 15024, 0, 55, United-States, >50K
39, Private, 451059, 9th, 5, Married-civ-spouse, Handlers-cleaners, Husband, White, Male, 0, 0, 40, United-States, <=50K
36, ?, 229533, HS-grad, 9, Married-civ-spouse, ?, Husband, White, Male, 0, 0, 40, United-States, <=50K
32, Private, 106437, HS-grad, 9, Separated, Adm-clerical, Unmarried, White, Female, 0, 0, 40, United-States, <=50K
58, Local-gov, 294313, Some-college, 10, Married-civ-spouse, Adm-clerical, Wife, Black, Female, 0, 0, 55, United-States, <=50K
63, Private, 67903, 9th, 5, Separated, Farming-fishing, Not-in-family, Black, Male, 0, 0, 40, United-States, <=50K
